,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.56,0.705,10,-7.741,0,0.147,0.485,1.13e-05,0.245,0.235,91.948,audio_features,59YHaQEfQWcnuH2MX1ORD0,spotify:track:59YHaQEfQWcnuH2MX1ORD0,https://api.spotify.com/v1/tracks/59YHaQEfQWcnuH2MX1ORD0,https://api.spotify.com/v1/audio-analysis/59YHaQEfQWcnuH2MX1ORD0,254348,4
1,0.403,0.214,10,-10.686,0,0.0389,0.951,1.69e-06,0.111,0.337,174.744,audio_features,7DfPUbwfVTcbUCnBZWXBlA,spotify:track:7DfPUbwfVTcbUCnBZWXBlA,https://api.spotify.com/v1/tracks/7DfPUbwfVTcbUCnBZWXBlA,https://api.spotify.com/v1/audio-analysis/7DfPUbwfVTcbUCnBZWXBlA,163753,3
2,0.659,0.783,11,-4.918,0,0.301,0.134,0.0,0.114,0.336,90.092,audio_features,2qoNlDkhEV9b6RnxdgrCgz,spotify:track:2qoNlDkhEV9b6RnxdgrCgz,https://api.spotify.com/v1/tracks/2qoNlDkhEV9b6RnxdgrCgz,https://api.spotify.com/v1/audio-analysis/2qoNlDkhEV9b6RnxdgrCgz,300814,4
3,0.79,0.537,10,-7.881,0,0.0389,0.198,4.07e-05,0.08,0.317,97.96,audio_features,4OXPhCRg9rA5qpGu21arOB,spotify:track:4OXPhCRg9rA5qpGu21arOB,https://api.spotify.com/v1/tracks/4OXPhCRg9rA5qpGu21arOB,https://api.spotify.com/v1/audio-analysis/4OXPhCRg9rA5qpGu21arOB,203337,4
4,0.703,0.689,0,-6.575,0,0.0658,0.43,0.0,0.185,0.492,82.058,audio_features,15Ihw9YYcsvarDutay5dGQ,spotify:track:15Ihw9YYcsvarDutay5dGQ,https://api.spotify.com/v1/tracks/15Ihw9YYcsvarDutay5dGQ,https://api.spotify.com/v1/audio-analysis/15Ihw9YYcsvarDutay5dGQ,245004,4
5,0.716,0.704,1,-6.786,0,0.155,0.154,1.39e-05,0.135,0.681,162.024,audio_features,1FxTl0wgfo5uxVeUzZbio3,spotify:track:1FxTl0wgfo5uxVeUzZbio3,https://api.spotify.com/v1/tracks/1FxTl0wgfo5uxVeUzZbio3,https://api.spotify.com/v1/audio-analysis/1FxTl0wgfo5uxVeUzZbio3,158003,3
6,0.7,0.668,7,-7.378,0,0.0465,0.065,0.00102,0.146,0.537,116.057,audio_features,09WV0zDMe3Gy7T21kKOY1l,spotify:track:09WV0zDMe3Gy7T21kKOY1l,https://api.spotify.com/v1/tracks/09WV0zDMe3Gy7T21kKOY1l,https://api.spotify.com/v1/audio-analysis/09WV0zDMe3Gy7T21kKOY1l,193529,4
7,0.518,0.567,9,-8.957,0,0.03,0.132,0.000204,0.087,0.0924,123.962,audio_features,3oY8FzEOjGnJuZp0oweh86,spotify:track:3oY8FzEOjGnJuZp0oweh86,https://api.spotify.com/v1/tracks/3oY8FzEOjGnJuZp0oweh86,https://api.spotify.com/v1/audio-analysis/3oY8FzEOjGnJuZp0oweh86,256822,4
8,0.639,0.64,0,-5.445,1,0.264,0.0235,0.0,0.195,0.523,88.093,audio_features,1nMd2QJB8ZxIH4f3rSgKY6,spotify:track:1nMd2QJB8ZxIH4f3rSgKY6,https://api.spotify.com/v1/tracks/1nMd2QJB8ZxIH4f3rSgKY6,https://api.spotify.com/v1/audio-analysis/1nMd2QJB8ZxIH4f3rSgKY6,166162,4
9,0.452,0.292,3,-11.532,0,0.0335,0.884,0.788,0.0851,0.0763,129.992,audio_features,61fNE7X3biK4qCna7YLQnt,spotify:track:61fNE7X3biK4qCna7YLQnt,https://api.spotify.com/v1/tracks/61fNE7X3biK4qCna7YLQnt,https://api.spotify.com/v1/audio-analysis/61fNE7X3biK4qCna7YLQnt,157870,3
10,0.531,0.737,0,-5.367,1,0.0779,0.15,0.0,0.268,0.557,155.986,audio_features,3CvkJCqzCmFSJrLfc57peK,spotify:track:3CvkJCqzCmFSJrLfc57peK,https://api.spotify.com/v1/tracks/3CvkJCqzCmFSJrLfc57peK,https://api.spotify.com/v1/audio-analysis/3CvkJCqzCmFSJrLfc57peK,177189,4
11,0.745,0.653,1,-6.131,1,0.385,0.628,3.77e-06,0.661,0.711,137.876,audio_features,4Cfs8RDYaGaJ5GjmoEL2zc,spotify:track:4Cfs8RDYaGaJ5GjmoEL2zc,https://api.spotify.com/v1/tracks/4Cfs8RDYaGaJ5GjmoEL2zc,https://api.spotify.com/v1/audio-analysis/4Cfs8RDYaGaJ5GjmoEL2zc,239622,4
